Center of mass energy (GeV),"Rb(SM with Jt, mtInput)","Rb(SM with Jt, mtInput-30 MeV)","Rb(SM with Jt, mtInput+30 MeV)",Rb(SM without Jt)
339,0.147768796,0.14771829,0.147818934,0.151569906
339.12,0.147662661,0.147611722,0.147713452,0.151566546
339.24,0.14755589,0.147505087,0.147606852,0.151563189
339.36,0.147449716,0.147399823,0.147500184,0.151559836
339.48,0.147345814,0.147297873,0.147394889,0.151556488
339.6,0.147246433,0.147201831,0.14729291,0.151553142
339.72,0.147154554,0.147115114,0.147196841,0.151549801
339.84,0.147074088,0.147042183,0.147110102,0.151546463
339.96,0.147010108,0.146988782,0.147037155,0.151543129
340.08,0.146969099,0.146962203,0.146983747,0.151539799
340.2,0.146959221,0.146971524,0.146957172,0.151536473
340.32,0.146990519,0.147027776,0.146966513,0.15153315
340.44,0.147075007,0.147143907,0.147022804,0.151529831
340.56,0.147226484,0.147334408,0.147139,0.151526516
340.68,0.147459902,0.147614366,0.147329595,0.151523204
340.8,0.147790063,0.147997751,0.147609682,0.151519896
340.92,0.148229465,0.148494834,0.147993239,0.151516592
341.04,0.148785316,0.149108886,0.148490536,0.151513291
341.16,0.149456094,0.14983282,0.149104847,0.151509994
341.28,0.150228547,0.150646897,0.14982908,0.151506701
341.4,0.151076452,0.15151883,0.150643487,0.151503412
341.52,0.151962279,0.152407101,0.151515767,0.151500126
341.64,0.15284207,0.153267103,0.152404385,0.151496844
341.76,0.153672391,0.154058337,0.153264718,0.151493565
341.88,0.154417174,0.154750345,0.154056252,0.15149029
342,0.155052313,0.155325697,0.154748517,0.151487019
342.12,0.155566964,0.155779721,0.155324079,0.151483752
342.24,0.155961958,0.156117919,0.155778266,0.151480488
342.36,0.156246562,0.156352411,0.156116582,0.151477227
342.48,0.156434904,0.15649857,0.156351152,0.151473971
342.6,0.156542966,0.15657245,0.156497357,0.151470718
342.72,0.156586467,0.156589131,0.156571257,0.151467468
342.84,0.156579645,0.156561863,0.156587937,0.151464222
342.96,0.156534694,0.156501763,0.156560653,0.15146098
343.08,0.15646167,0.156417855,0.156500525,0.151457741
343.2,0.156368624,0.156317283,0.156416581,0.151454506
343.32,0.156261867,0.156205595,0.156315968,0.151451275
343.44,0.156146259,0.156087031,0.156204236,0.151448047
343.56,0.156025489,0.155964786,0.156085625,0.151444823
343.68,0.155902313,0.155841233,0.155963333,0.151441602
343.8,0.155778768,0.15571811,0.155839733,0.151438385
343.92,0.155656331,0.155596666,0.155716564,0.151435171
344.04,0.155536053,0.15547778,0.155595074,0.151431961
344.16,0.155418663,0.155362049,0.155476144,0.151428754
344.28,0.155304646,0.155249864,0.155360372,0.151425551
344.4,0.155194307,0.155141453,0.155248145,0.151422352
344.52,0.155087815,0.155036934,0.155139696,0.151419156
344.64,0.154985239,0.154936337,0.155035139,0.151415964
344.76,0.154886577,0.154839632,0.154934506,0.151412775
344.88,0.154791777,0.154746746,0.154837767,0.151409589
345,0.154700747,0.154657575,0.154744849,0.151406407
